Group,N,Mean,Variance,FF,gene
1,1142,4.40026352075131,2.73218795864032,0.620914621534717,bub1WTymEGFP
2,1144,18.5200904356573,18.4671154829819,0.997139595356755,cdc13endog
3,2155,2.85251910029699,1.87395581649878,0.656947683997517,mad1WTymEGFP
4,1382,1.74181548708104,1.07960856597384,0.619817985303977,mad1endog
5,3064,2.89691333108192,2.3878232862166,0.82426466149224,mad2WTymEGFP
6,2661,3.52602700963548,2.55644904339798,0.725022535678838,mad3WTymEGFP
7,1425,17.8811260748204,11.5739094665645,0.647269608084834,rpb1endog
8,589,5.42553294813413,4.77272545711541,0.87967864221648,sep1WTymEGFP-hph
