Group,N,Mean,Variance,FF,gene
1,1142,0.560241360071804,0.533055200298254,0.951474200744362,bub1WTymEGFP
2,1144,2.67220221783829,2.48170683391374,0.928712212476701,cdc13endog
3,2155,0.284678039540139,0.27976878482463,0.982755063497557,mad1WTymEGFP
4,1382,0.318194132956585,0.295581940743431,0.92893586062368,mad1endog
5,3064,0.945392202617167,0.798857816254326,0.845001486200982,mad2WTymEGFP
6,2661,0.345994531538519,0.336913465100107,0.973753728424459,mad3WTymEGFP
7,1425,3.55596700658737,2.93584817880981,0.825611759999798,rpb1endog
8,589,1.29553952539389,1.1212870033696,0.865498104373691,sep1WTymEGFP-hph
